"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @nafeezi: Who ordered the shooting of #EndSARS protesters at Lekki toll gate on 20/10/2020?

#LekkiMassacre",FALSE,0,NA,2021-03-25 06:16:06,FALSE,NA,"1374968313776893954",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","covid419",52,TRUE,FALSE,NA,NA
"RT @_Nawty_P: Hello sir/ma 
Lovelies

My first single #EndSARS is out now on all platforms.
Pls go play it.
Favourite/ like it and drop a c…",FALSE,0,NA,2021-03-25 06:16:01,FALSE,NA,"1374968292696264705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_charlian_",93,TRUE,FALSE,NA,NA
"RT @Arise_NigerianY: Breaking: Tinubu has started begging around for endorsement over 2023. Dear Young Nigerians we will never forget what…",FALSE,0,NA,2021-03-25 06:15:35,FALSE,NA,"1374968184718176266",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","keepee101",165,TRUE,FALSE,NA,NA
"RT @TimmyBondSpectr: @rootstvnigeria #FreeSolomonAkuma ....Freedom of Speech is a fundamental human right....Those who deprive others of th…",FALSE,0,NA,2021-03-25 06:15:19,FALSE,NA,"1374968117726736387",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Okafornnewi",5,TRUE,FALSE,NA,NA
"RT @meiklwagner: Sexy M. F. - Prince &amp; The New Power Generation, 1992, Paisley Park.
On YouTube: https://t.co/h6L1rVXleD

#FridaysForFuture…",FALSE,0,NA,2021-03-25 06:15:02,FALSE,NA,"1374968047132418048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","meiklwagner",5,TRUE,FALSE,NA,NA
"@OyeyemiRafiu @charlespossible @trolls_queen @DejiAdesogan @PoliceNG @PoliceNG_CRU @IntlCrimCourt this guy is encou… https://t.co/t5JF5F8DVM",FALSE,0,"OyeyemiRafiu",2021-03-25 06:13:02,TRUE,"1374965992166723584","1374967543270608896","925450441","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","atakata101",0,FALSE,FALSE,NA,NA
"RT @nafeezi: Who ordered the shooting of #EndSARS protesters at Lekki toll gate on 20/10/2020?

#LekkiMassacre",FALSE,0,NA,2021-03-25 06:12:31,FALSE,NA,"1374967412920029185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seyi_moneygram",52,TRUE,FALSE,NA,NA
"RT @_Nawty_P: Hello sir/ma 
Lovelies

My first single #EndSARS is out now on all platforms.
Pls go play it.
Favourite/ like it and drop a c…",FALSE,0,NA,2021-03-25 06:12:09,FALSE,NA,"1374967319932325892",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emmadeyforyou",93,TRUE,FALSE,NA,NA
"RT @KemiOlunloyo: Pls stop referring to this young lady Rinu of #endsars as just a social media influencer. I’ve told you to start addressi…",FALSE,0,NA,2021-03-25 06:11:55,FALSE,NA,"1374967263674167303",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wunmiOG",86,TRUE,FALSE,NA,NA
"RT @KemiOlunloyo: Pls stop referring to this young lady Rinu of #endsars as just a social media influencer. I’ve told you to start addressi…",FALSE,0,NA,2021-03-25 06:11:18,FALSE,NA,"1374967108174544898",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","youngceezy_",86,TRUE,FALSE,NA,NA
